Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55691128,বহুরূপী,Satyajit Ray,"Ray, Satyajit",,"=""""","=""""",4,4.24,,,,,,2022/08/18,2022/08/18,,,read,,,,1,0
18003122,"তিন গোয়েন্দা ভলিউম ২/২ (তিন গোয়েন্দা, #১০,১১,১২)",Rakib Hassan,"Hassan, Rakib",,"=""""","=""""",0,4.52,সেবা প্রকাশনী,Paperback,206,1994,1994,,2022/08/15,,,read,,,,1,0
17999282,"তিন গোয়েন্দা ভলিউম ২/১ (তিন গোয়েন্দা, #৭,৮,৯)",Rakib Hassan,"Hassan, Rakib",,"=""9841612747""","=""""",0,4.40,সেবা প্রকাশনী,Paperback,240,1994,1994,,2022/08/15,,,read,,,,1,0
17999271,"তিন গোয়েন্দা ভলিউম ১/২ (তিন গোয়েন্দা, #৪,৫,৬)",Rakib Hassan,"Hassan, Rakib",,"=""9841612461""","=""""",0,4.47,সেবা প্রকাশনী,Paperback,280,1993,1989,,2022/08/15,,,read,,,,1,0
3084276,আরণ্যক,Bibhutibhushan Bandyopadhyay,"Bandyopadhyay, Bibhutibhushan",,"=""8172931190""","=""9788172931193""",5,4.62,মিত্র​ ও ঘোষ,Paperback,168,1976,1939,2022/07/29,2022/06/03,,,read,"আরেকবার পড়বও, বারবার পড়বো<br/>জঙ্গলেই চলিয়া যাইব ",,,1,0
17458632,নন্দিত নরকে,Humayun Ahmed,"Ahmed, Humayun",,"=""""","=""""",5,4.33,খান ব্রাদার্স এ্যাণ্ড কোং,Hardcover,70,1972,1972,,2022/03/13,,,read,,,,1,0
29994867,লেবুমামার সপ্তকাণ্ড,Mohammad Nasir Ali,"Ali, Mohammad Nasir",,"=""9847020029""","=""""",5,4.04,নওরোজ সাহিত্য সম্ভার,Hardcover,78,1993,1968,2014/01/01,2022/01/28,,,read,,,,1,0
60231741,নিয়তি (জ্যাক দ্য ফ্যাটালিস্ট অ্যান্ড হিজ মাষ্টার),Denis Diderot,"Diderot, Denis",Neaz Morshed,"=""9841805316""","=""""",0,3.81,বিশ্বসাহিত্য কেন্দ্র ,Hardcover,280,2018,1785,,2022/01/28,to-read,to-read (#222),to-read,,,,0,0
1188425,L'ingénieux Hidalgo:  Don Quichotte De La Manche I,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes",Aline Schulman,"=""2020222124""","=""9782020222129""",0,4.04,Points,Paperback,578,2001,1605,,2022/01/28,,,read,,,,1,0
31367279,দ্য আই অফ গড (Sigma Force #9),James Rollins,"Rollins, James",আরিফ জামান,"=""""","=""""",2,4.13,রোদেলা প্রকাশনী,Hardcover,400,2016,2013,,2022/01/16,,,read,,,,1,0
17055403,পঞ্চতন্ত্র,Syed Mujtaba Ali,"Ali, Syed Mujtaba",,"=""984406418X""","=""""",0,4.44,"Student Ways, Dhaka",Hardcover,280,1952,1952,,2022/01/16,currently-reading,currently-reading (#3),currently-reading,,,,1,0
35224529,দ্য লটারি টিকেট,Jules Verne,"Verne, Jules",Sayeem Shams,"=""9841632780""","=""""",0,3.54,সেবা প্রকাশনী,Paperback,208,2017,1885,,2022/01/03,to-read,to-read (#221),to-read,,,,0,0
56883749,আগুনি,মাহবুব আজাদ,"আজাদ, মাহবুব",,"=""""","=""9781777579005""",0,4.91,গল্পদ্রুম,ebook,1296,2021,2021,,2021/11/09,to-read,to-read (#220),to-read,,,,0,0
17402541,গাভী বিত্তান্ত,Ahmed Sofa,"Sofa, Ahmed",,"=""9844081386""","=""""",0,4.29,খান ব্রাদার্স অ্যান্ড কোম্পানি,Hardcover,120,2011,1995,,2021/11/02,to-read,to-read (#219),to-read,,,,0,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.25,Ace Books,Hardcover,658,2019,1965,,2021/08/27,currently-reading,currently-reading (#2),currently-reading,,,,1,0
18373537,প্রথম আলো (অখন্ড),Sunil Gangopadhyay,"Gangopadhyay, Sunil",,"=""8177568299""","=""9788177568295""",0,4.63,আনন্দ পাবলিশার্স প্রাঃ লিঃ,Hardcover,1135,2011,2000,,2021/03/18,to-read,to-read (#218),to-read,,,,0,0
